time	V(gg)	I(L1)
0.000000000000000e+000	0.000000e+000	4.775773e+000
1.271701927790803e-012	1.526042e-002	4.775773e+000
3.815105674952191e-012	4.578127e-002	4.775773e+000
8.153275905982416e-012	9.783931e-002	4.775773e+000
1.255910696620899e-011	1.507093e-001	4.775773e+000
2.092983718195857e-011	2.511581e-001	4.775773e+000
2.880914712517779e-011	3.457098e-001	4.775772e+000
4.450873079386158e-011	5.341048e-001	4.775772e+000
6.716911011769855e-011	8.060293e-001	4.775771e+000
1.124898687653725e-010	1.349878e+000	4.775770e+000
2.031313860607203e-010	2.437577e+000	4.775767e+000
3.844144207598363e-010	4.612973e+000	4.775762e+000
6.374339307259336e-010	7.649207e+000	4.775754e+000
1.000000000015745e-009	1.200000e+001	4.775744e+000
1.036256606998937e-009	1.200000e+001	4.775743e+000
1.108769820856899e-009	1.200000e+001	4.775741e+000
3.385209718244230e-009	1.200000e+001	4.775674e+000
5.661649615631561e-009	1.200000e+001	4.775607e+000
7.938089513018892e-009	1.200000e+001	4.775540e+000
1.021452941040622e-008	1.200000e+001	4.775474e+000
1.249096930779355e-008	1.200000e+001	4.775407e+000
1.476740920518088e-008	1.200000e+001	4.775340e+000
1.704384910256821e-008	1.200000e+001	4.775274e+000
1.854384910242920e-008	1.200000e+001	4.775230e+000
1.904384910238286e-008	1.200000e+001	4.775215e+000
1.954384910233652e-008	1.200000e+001	4.775200e+000
2.004384910229019e-008	1.200000e+001	4.775186e+000
2.054384910224385e-008	1.200000e+001	4.775171e+000
2.104384910219751e-008	1.200000e+001	4.775156e+000
2.154384910215117e-008	1.200000e+001	4.775142e+000
2.204384910210484e-008	1.200000e+001	4.775127e+000
2.254384910205850e-008	1.200000e+001	4.775113e+000
2.304384910201216e-008	1.200000e+001	4.775098e+000
2.354384910196582e-008	1.200000e+001	4.775084e+000
2.404384910191949e-008	1.200000e+001	4.775069e+000
2.454384910187315e-008	1.200000e+001	4.775054e+000
2.504384910182681e-008	1.200000e+001	4.775040e+000
2.554384910178047e-008	1.200000e+001	4.775025e+000
2.604384910173414e-008	1.200000e+001	4.775011e+000
2.654384910168780e-008	1.200000e+001	4.774996e+000
2.704384910164146e-008	1.200000e+001	4.774981e+000
2.804384910154879e-008	1.200000e+001	4.774953e+000
2.904384910145611e-008	1.200000e+001	4.774924e+000
3.004384910136344e-008	1.200000e+001	4.774895e+000
3.054384910131710e-008	1.200000e+001	4.774881e+000
3.104384910127076e-008	1.200000e+001	4.774867e+000
3.154384910122442e-008	1.200000e+001	4.774853e+000
3.204384910117809e-008	1.200000e+001	4.774838e+000
3.254384910113175e-008	1.200000e+001	4.774824e+000
3.304384910108541e-008	1.200000e+001	4.774810e+000
3.404384910099274e-008	1.200000e+001	4.774782e+000
3.554384910085372e-008	1.200000e+001	4.774740e+000
3.675813481502691e-008	1.200000e+001	4.774706e+000
3.797242052920009e-008	1.200000e+001	4.774673e+000
3.918670624337326e-008	1.200000e+001	4.774639e+000
4.040099195754645e-008	1.200000e+001	4.774606e+000
4.161527767171963e-008	1.200000e+001	4.774574e+000
4.282956338589281e-008	1.200000e+001	4.774541e+000
4.404384910006599e-008	1.200000e+001	4.774508e+000
4.497242052855136e-008	1.200000e+001	4.774484e+000
4.590099195703674e-008	1.200000e+001	4.774459e+000
