time	V(N001,P001)	V(n003)	V(n004)	I(D1)	I(L1)
0.000000000000000e+000	-7.207531e+000	1.823750e+001	0.000000e+000	1.286853e-001	1.287042e-001
1.999999558327525e-013	-7.207531e+000	1.823750e+001	0.000000e+000	1.286853e-001	1.287042e-001
4.279999098188991e-012	-7.207531e+000	1.823750e+001	4.895999e-002	1.286852e-001	1.287041e-001
8.375998245685468e-012	-7.207531e+000	1.823750e+001	9.811198e-002	1.286822e-001	1.287040e-001
1.656799654067842e-011	-7.207518e+000	1.823750e+001	1.964160e-001	1.282538e-001	1.287037e-001
3.295199291382389e-011	-7.204226e+000	1.823750e+001	3.930239e-001	4.251108e-002	1.287032e-001
4.642357960722710e-011	-7.118530e+000	1.823750e+001	5.546830e-001	-2.186355e+000	1.287027e-001
5.604547945528560e-011	-6.495148e+000	1.823750e+001	6.701458e-001	-1.839920e+001	1.287024e-001
6.451820588199153e-011	-4.888622e+000	1.823746e+001	7.718185e-001	-6.014063e+001	1.287022e-001
7.506479812735556e-011	-2.716768e+000	1.823736e+001	8.983776e-001	-1.164123e+002	1.287021e-001
8.551529775101263e-011	-1.925318e+000	1.823723e+001	1.023784e+000	-1.365432e+002	1.287020e-001
1.025688863270230e-010	-1.863867e+000	1.823700e+001	1.228427e+000	-1.359096e+002	1.287018e-001
1.085732320021959e-010	-1.059008e+000	1.823692e+001	1.300479e+000	-1.278444e+002	1.287018e-001
1.124971305346834e-010	1.184143e+000	1.823687e+001	1.347566e+000	-1.054364e+002	1.287018e-001
1.154285623247014e-010	4.084237e+000	1.823684e+001	1.382743e+000	-7.645312e+001	1.287018e-001
1.188834954958529e-010	7.337898e+000	1.823682e+001	1.424202e+000	-4.391735e+001	1.287019e-001
1.226979401327405e-010	9.641248e+000	1.823681e+001	1.469975e+000	-2.088466e+001	1.287021e-001
1.268876611854736e-010	1.091044e+001	1.823680e+001	1.520252e+000	-8.192747e+000	1.287023e-001
1.308946711870568e-010	1.140926e+001	1.823680e+001	1.568336e+000	-3.204580e+000	1.287025e-001
1.361841041411932e-010	1.162933e+001	1.823680e+001	1.631809e+000	-1.003911e+000	1.287028e-001
1.429924650908632e-010	1.170777e+001	1.823680e+001	1.713510e+000	-2.195623e-001	1.287031e-001
1.539172498222358e-010	1.172787e+001	1.823680e+001	1.844607e+000	-1.852126e-002	1.287037e-001
1.709213556279343e-010	1.172989e+001	1.823680e+001	2.048656e+000	1.694453e-003	1.287046e-001
2.049295670224910e-010	1.172969e+001	1.823680e+001	2.456755e+000	-3.079138e-004	1.287064e-001
2.729459898116043e-010	1.172972e+001	1.823680e+001	3.272952e+000	9.631040e-005	1.287101e-001
4.089788353898310e-010	1.172969e+001	1.823680e+001	4.905346e+000	-3.760089e-005	1.287173e-001
6.810445267631249e-010	1.172966e+001	1.823679e+001	8.170135e+000	6.306904e-006	1.287318e-001
1.000199999863158e-009	1.172968e+001	1.823679e+001	1.200000e+001	4.897700e-004	1.287488e-001
1.032115547108109e-009	1.172966e+001	1.823679e+001	1.200000e+001	3.657347e-004	1.287505e-001
1.095946641814852e-009	1.172962e+001	1.823678e+001	1.200000e+001	7.949311e-006	1.287539e-001
