time	V(vd)	V(vg)	Id(M1)
0.000000000000000e+000	4.463421e-002	1.149997e+001	5.031549e-001
1.399999690829268e-012	4.463421e-002	1.149997e+001	5.031549e-001
1.999999775167960e-012	4.463422e-002	1.149997e+001	5.031549e-001
2.159999826570336e-012	4.463422e-002	1.149997e+001	5.031550e-001
2.479999712534653e-012	4.463422e-002	1.149997e+001	5.031550e-001
3.119999701303722e-012	4.463422e-002	1.149997e+001	5.031550e-001
4.399999462001425e-012	4.463423e-002	1.149997e+001	5.031551e-001
6.959999200237266e-012	4.463424e-002	1.149997e+001	5.031552e-001
1.207999867670895e-011	4.463426e-002	1.149997e+001	5.031555e-001
2.231999762965231e-011	4.463431e-002	1.149997e+001	5.031559e-001
4.279999531869860e-011	4.463441e-002	1.149997e+001	5.031570e-001
8.375999069679119e-011	4.463464e-002	1.149998e+001	5.031590e-001
1.656799814529764e-010	4.463520e-002	1.150000e+001	5.031630e-001
3.124814901191847e-010	4.463642e-002	1.150006e+001	5.031703e-001
4.685381819937579e-010	4.463800e-002	1.150016e+001	5.031779e-001
6.729884208505482e-010	4.464033e-002	1.150031e+001	5.031881e-001
7.502511058157108e-010	4.464127e-002	1.150037e+001	5.031919e-001
8.474746299690084e-010	4.464250e-002	1.150045e+001	5.031968e-001
1.001999999899333e-009	4.464447e-002	1.150059e+001	5.032045e-001
1.017452536935734e-009	4.464467e-002	1.150061e+001	5.032052e-001
1.048357611008535e-009	4.464504e-002	1.150063e+001	5.032068e-001
1.110167758937297e-009	4.464574e-002	1.150068e+001	5.032099e-001
1.233788054794821e-009	4.464693e-002	1.150076e+001	5.032161e-001
1.481028646726709e-009	4.464871e-002	1.150087e+001	5.032285e-001
1.864532417350517e-009	4.465057e-002	1.150096e+001	5.032477e-001
2.261766557680109e-009	4.465164e-002	1.150099e+001	5.032675e-001
2.620951596813553e-009	4.465176e-002	1.150093e+001	5.032855e-001
2.835250279779183e-009	4.465102e-002	1.150080e+001	5.032963e-001
2.979669446291980e-009	4.464964e-002	1.150062e+001	5.033037e-001
3.120913668989978e-009	4.464711e-002	1.150031e+001	5.033110e-001
3.300829978705039e-009	4.464201e-002	1.149972e+001	5.033203e-001
3.492520115125353e-009	4.463366e-002	1.149878e+001	5.033303e-001
3.827598863510515e-009	4.461144e-002	1.149624e+001	5.033477e-001
4.427865470330375e-009	4.455632e-002	1.148967e+001	5.033786e-001
5.047180673617771e-009	4.448648e-002	1.148064e+001	5.034100e-001
5.763626694833823e-009	4.439868e-002	1.146790e+001	5.034457e-001
6.459729663503555e-009	4.431412e-002	1.145381e+001	5.034803e-001
7.100427267849041e-009	4.423647e-002	1.143919e+001	5.035123e-001
7.629175541312705e-009	4.415724e-002	1.142428e+001	5.035408e-001
8.003550806909981e-009	4.405974e-002	1.140856e+001	5.035636e-001
8.435339294687178e-009	4.388091e-002	1.138264e+001	5.035903e-001
8.805949310670622e-009	4.368883e-002	1.135514e+001	5.036106e-001
9.217935830222943e-009	4.346584e-002	1.132063e+001	5.036309e-001
1.004190886932758e-008	4.305860e-002	1.124687e+001	5.036695e-001
1.104190886923491e-008	4.265415e-002	1.115409e+001	5.037155e-001
1.204190886914223e-008	4.235926e-002	1.105960e+001	5.037618e-001
1.304190886904956e-008	4.216627e-002	1.096451e+001	5.038087e-001
1.404190886895688e-008	4.205181e-002	1.086960e+001	5.038556e-001
1.451957001028306e-008	4.203187e-002	1.082536e+001	5.038771e-001
1.483946535834127e-008	4.204333e-002	1.079717e+001	5.038912e-001
1.516806931835604e-008	4.207174e-002	1.076926e+001	5.039067e-001
1.543825936252234e-008	4.210036e-002	1.074659e+001	5.039198e-001
1.572875560460103e-008	4.213490e-002	1.072246e+001	5.039338e-001
1.608621607641393e-008	4.218202e-002	1.069308e+001	5.039511e-001
1.629179991651311e-008	4.221190e-002	1.067640e+001	5.039610e-001
1.653054300149344e-008	4.224943e-002	1.065725e+001	5.039726e-001
1.674686662912414e-008	4.228489e-002	1.064002e+001	5.039832e-001
1.686201554339933e-008	4.230422e-002	1.063088e+001	5.039889e-001
1.702071178444342e-008	4.233120e-002	1.061832e+001	5.039967e-001
1.715436619728443e-008	4.235408e-002	1.060776e+001	5.040033e-001
1.729853263215085e-008	4.237892e-002	1.059639e+001	5.040105e-001
1.747666896205653e-008	4.240979e-002	1.058236e+001	5.040193e-001
1.766659077557554e-008	4.244290e-002	1.056743e+001	5.040287e-001
1.797064125568133e-008	4.249626e-002	1.054358e+001	5.040438e-001
1.827053536826266e-008	4.254934e-002	1.052014e+001	5.040587e-001
1.887032359342532e-008	4.265653e-002	1.047343e+001	5.040885e-001
1.944371210479273e-008	4.276020e-002	1.042900e+001	5.041170e-001
2.033188100259570e-008	4.292298e-002	1.036060e+001	5.041611e-001
2.124768976323639e-008	4.309324e-002	1.029056e+001	5.042065e-001
2.224768976314372e-008	4.328205e-002	1.021467e+001	5.042562e-001
2.324768976305104e-008	4.347378e-002	1.013938e+001	5.043059e-001
2.424768976295837e-008	4.366850e-002	1.006470e+001	5.043555e-001
2.524768976286569e-008	4.386622e-002	9.990620e+000	5.044052e-001
2.624768976277302e-008	4.406700e-002	9.917133e+000	5.044549e-001
2.724768976268034e-008	4.427087e-002	9.844236e+000	5.045046e-001
2.824768976258767e-008	4.447791e-002	9.771924e+000	5.045542e-001
2.924768976249499e-008	4.468817e-002	9.700191e+000	5.046039e-001
3.024768976240232e-008	4.490174e-002	9.629034e+000	5.046535e-001
3.124768976230964e-008	4.511869e-002	9.558447e+000	5.047031e-001
3.324768976212429e-008	4.556305e-002	9.418966e+000	5.048024e-001
3.524768976193894e-008	4.602194e-002	9.281713e+000	5.049016e-001
3.724768976175359e-008	4.649608e-002	9.146653e+000	5.050009e-001
3.996197547578776e-008	4.715863e-002	8.967002e+000	5.051355e-001
4.267626118982193e-008	4.785931e-002	8.791043e+000	5.052702e-001
4.539054690385610e-008	4.859813e-002	8.618776e+000	5.054047e-001
4.810483261789027e-008	4.937507e-002	8.450201e+000	5.055393e-001
5.081911833192444e-008	5.019016e-002	8.285319e+000	5.056737e-001
5.353340404595861e-008	5.104337e-002	8.124129e+000	5.058082e-001
5.624768975999277e-008	5.193472e-002	7.966632e+000	5.059426e-001
5.924768975971474e-008	5.296614e-002	7.796547e+000	5.060910e-001
6.224768975943672e-008	5.408232e-002	7.630332e+000	5.062394e-001
6.524768975915869e-008	5.528325e-002	7.467987e+000	5.063877e-001
6.824768975888067e-008	5.656894e-002	7.309512e+000	5.065358e-001
7.124768975860264e-008	5.793937e-002	7.154907e+000	5.066839e-001
7.424768975832462e-008	5.939456e-002	7.004172e+000	5.068318e-001
7.724768975804659e-008	6.093450e-002	6.857307e+000	5.069796e-001
7.967626118639296e-008	6.226049e-002	6.740959e+000	5.070992e-001
8.210483261473932e-008	6.369696e-002	6.626829e+000	5.072186e-001
8.453340404308567e-008	6.524389e-002	6.514918e+000	5.073379e-001
8.696197547143204e-008	6.690129e-002	6.405225e+000	5.074569e-001
8.939054689977841e-008	6.866916e-002	6.297750e+000	5.075759e-001
9.181911832812476e-008	7.054750e-002	6.192493e+000	5.076946e-001
9.424768975647112e-008	7.253631e-002	6.089455e+000	5.078132e-001
9.724768975619309e-008	7.524721e-002	5.964974e+000	5.079592e-001
1.002476897559151e-007	7.823348e-002	5.843663e+000	5.081049e-001
1.032476897556370e-007	8.153842e-002	5.725479e+000	5.082500e-001
1.062476897553590e-007	8.521475e-002	5.610390e+000	5.083944e-001
1.092476897550810e-007	8.932726e-002	5.498374e+000	5.085380e-001
1.122476897548030e-007	9.395652e-002	5.389424e+000	5.086806e-001
1.142476897546176e-007	9.737869e-002	5.318496e+000	5.087749e-001
1.162476897544323e-007	1.011114e-001	5.248941e+000	5.088687e-001
1.182476897542469e-007	1.051976e-001	5.180772e+000	5.089616e-001
1.202476897540616e-007	1.096885e-001	5.114008e+000	5.090536e-001
1.222476897538762e-007	1.146454e-001	5.048675e+000	5.091445e-001
1.242476897536909e-007	1.201418e-001	4.984810e+000	5.092341e-001
1.262476897535055e-007	1.262674e-001	4.922462e+000	5.093222e-001
1.282476897533202e-007	1.331317e-001	4.861695e+000	5.094081e-001
1.292476897532275e-007	1.368819e-001	4.831929e+000	5.094503e-001
1.302476897531348e-007	1.408698e-001	4.802592e+000	5.094917e-001
1.312476897530421e-007	1.451177e-001	4.773698e+000	5.095325e-001
1.322476897529495e-007	1.496501e-001	4.745263e+000	5.095723e-001
1.332476897528568e-007	1.544950e-001	4.717306e+000	5.096111e-001
1.342476897527641e-007	1.596836e-001	4.689849e+000	5.096489e-001
1.352476897526714e-007	1.652511e-001	4.662916e+000	5.096855e-001
1.362476897525788e-007	1.712374e-001	4.636535e+000	5.097208e-001
1.372476897524861e-007	1.776875e-001	4.610738e+000	5.097545e-001
1.382476897523934e-007	1.846524e-001	4.585562e+000	5.097864e-001
1.392476897523007e-007	1.921901e-001	4.561049e+000	5.098164e-001
1.402476897522081e-007	2.003664e-001	4.537245e+000	5.098441e-001
1.412476897521154e-007	2.092562e-001	4.514207e+000	5.098692e-001
1.422476897520227e-007	2.189448e-001	4.491997e+000	5.098914e-001
1.432476897519300e-007	2.295292e-001	4.470687e+000	5.099102e-001
1.442476897518374e-007	2.411199e-001	4.450359e+000	5.099253e-001
1.452476897517447e-007	2.538423e-001	4.431107e+000	5.099361e-001
1.462476897516520e-007	2.678387e-001	4.413036e+000	5.099419e-001
1.472476897515593e-007	2.832698e-001	4.396268e+000	5.099423e-001
1.482476897514667e-007	3.003160e-001	4.380938e+000	5.099365e-001
1.492476897513740e-007	3.191788e-001	4.367197e+000	5.099238e-001
1.502476897512813e-007	3.400803e-001	4.355211e+000	5.099036e-001
1.512476897511886e-007	3.632624e-001	4.345161e+000	5.098751e-001
1.522476897510960e-007	3.889832e-001	4.337242e+000	5.098380e-001
1.532476897510033e-007	4.175111e-001	4.331652e+000	5.097920e-001
1.542476897509106e-007	4.489992e-001	4.328492e+000	5.097444e-001
1.552476897508179e-007	4.829729e-001	4.327346e+000	5.097277e-001
1.562476897507253e-007	5.181926e-001	4.327192e+000	5.097584e-001
1.572476897506326e-007	5.536380e-001	4.327213e+000	5.098062e-001
1.582476897505399e-007	5.890638e-001	4.327219e+000	5.098522e-001
1.612476897502619e-007	6.953386e-001	4.327229e+000	5.099900e-001
1.688191183209888e-007	9.630835e-001	4.327164e+000	5.103320e-001
1.763905468917157e-007	1.231159e+000	4.327056e+000	5.106634e-001
1.839619754624426e-007	1.499565e+000	4.326905e+000	5.109843e-001
1.915334040331695e-007	1.768301e+000	4.326712e+000	5.112948e-001
1.991048326038964e-007	2.037368e+000	4.326476e+000	5.115947e-001
2.066762611746232e-007	2.306765e+000	4.326198e+000	5.118842e-001
2.142476897453501e-007	2.576493e+000	4.325878e+000	5.121632e-001
2.181048326021355e-007	2.714040e+000	4.325716e+000	5.123014e-001
2.219619754589209e-007	2.852981e+000	4.325538e+000	5.124335e-001
2.258191183157063e-007	2.993317e+000	4.325345e+000	5.125593e-001
2.296762611724917e-007	3.135048e+000	4.325136e+000	5.126789e-001
2.335334040292771e-007	3.278173e+000	4.324911e+000	5.127923e-001
2.373905468860625e-007	3.422692e+000	4.324671e+000	5.128995e-001
2.412476897428479e-007	3.568607e+000	4.324416e+000	5.130005e-001
