time	Vosc	Vgate	Vsecundario	Vsw	Vprimario	Vsalida
0.000000000000000e+000	4.320215e-022	-1.893721e+000	4.089829e+000	2.461424e+001	-1.261424e+001	3.588449e+000
1.000000000341006e-010	4.287929e-022	-1.893851e+000	4.089754e+000	2.461395e+001	-1.261395e+001	3.588398e+000
3.000000001023018e-010	4.224202e-022	-1.894138e+000	4.089632e+000	2.461337e+001	-1.261337e+001	3.588298e+000
5.999999999877631e-010	4.131023e-022	-1.894582e+000	4.089462e+000	2.461252e+001	-1.261252e+001	3.588148e+000
9.999999999073250e-010	4.009879e-022	-1.895173e+000	4.089236e+000	2.461138e+001	-1.261138e+001	3.587948e+000
1.039999999964333e-009	3.998033e-022	-1.895232e+000	4.089213e+000	2.461127e+001	-1.261127e+001	3.587928e+000
2.607999999878867e-008	1.443998e-022	-1.930531e+000	4.075106e+000	2.454313e+001	-1.254313e+001	3.575421e+000
5.107999999864020e-008	1.262848e-022	-1.962958e+000	4.061073e+000	2.447999e+001	-1.247999e+001	3.562984e+000
7.607999999849173e-008	1.251066e-022	-1.993119e+000	4.047091e+000	2.442077e+001	-1.242077e+001	3.550595e+000
1.060799999983136e-007	1.250277e-022	-2.026962e+000	4.030376e+000	2.435377e+001	-1.235377e+001	3.535790e+000
1.410799999981057e-007	1.250247e-022	-2.063963e+000	4.010961e+000	2.427989e+001	-1.227989e+001	3.518600e+000
1.810799999978682e-007	1.250246e-022	-2.103838e+000	3.988880e+000	2.419963e+001	-1.219963e+001	3.499060e+000
2.310799999975712e-007	1.250246e-022	-2.151137e+000	3.961436e+000	2.410368e+001	-1.210368e+001	3.474787e+000
2.960799999971852e-007	1.250246e-022	-2.209822e+000	3.926013e+000	2.398375e+001	-1.198375e+001	3.443482e+000
3.860799999966507e-007	1.250246e-022	-2.287862e+000	3.877425e+000	2.382315e+001	-1.182315e+001	3.400591e+000
5.410799999957302e-007	1.250246e-022	-2.417307e+000	3.794958e+000	2.355488e+001	-1.155488e+001	3.327934e+000
7.209999999999682e-007	1.250246e-022	-2.562649e+000	3.701082e+000	2.325154e+001	-1.125154e+001	3.245476e+000
7.220000000000924e-007	1.250246e-022	-2.563444e+000	3.700566e+000	2.324987e+001	-1.124987e+001	3.245024e+000
1.066077999895476e-006	1.250246e-022	-2.830158e+000	3.526255e+000	2.268788e+001	-1.068788e+001	3.092831e+000
1.351077999893783e-006	1.250246e-022	-3.041283e+000	3.386565e+000	2.223808e+001	-1.023808e+001	2.972063e+000
1.576077999892447e-006	1.250246e-022	-3.202497e+000	3.278854e+000	2.189164e+001	-9.891640e+000	2.880015e+000
1.741077999891467e-006	1.250246e-022	-3.318161e+000	3.201023e+000	2.164159e+001	-9.641586e+000	2.814330e+000
1.846077999890844e-006	1.250246e-022	-3.390877e+000	3.151865e+000	2.148381e+001	-9.483814e+000	2.773323e+000
1.886077999890606e-006	1.250246e-022	-3.418439e+000	3.133190e+000	2.142391e+001	-9.423912e+000	2.757863e+000
1.896077999890547e-006	1.250246e-022	-3.425320e+000	3.128524e+000	2.140895e+001	-9.408951e+000	2.754012e+000
1.946077999890250e-006	1.250246e-022	-3.459678e+000	3.105207e+000	2.133420e+001	-9.334204e+000	2.734840e+000
2.056077999889596e-006	1.250246e-022	-3.535111e+000	3.053909e+000	2.116990e+001	-9.169905e+000	2.693152e+000
2.216077999888646e-006	1.250246e-022	-3.645290e+000	2.978805e+000	2.092985e+001	-8.929846e+000	2.633729e+000
2.326077999887993e-006	1.250246e-022	-3.722493e+000	2.926166e+000	2.076208e+001	-8.762081e+000	2.593728e+000
2.406077999887518e-006	6.381356e-008	-3.780411e+000	2.886765e+000	2.063689e+001	-8.636890e+000	2.565091e+000
2.446077999887280e-006	3.828814e-006	-3.810337e+000	2.866472e+000	2.057258e+001	-8.572582e+000	2.550923e+000
2.451077999887251e-006	3.753094e-003	-3.814139e+000	2.863898e+000	2.056444e+001	-8.564436e+000	2.549160e+000
2.456077999887221e-006	5.375056e-002	-3.817957e+000	2.861315e+000	2.055626e+001	-8.556261e+000	2.547398e+000
2.461077999887191e-006	1.849974e-001	-3.821792e+000	2.858721e+000	2.054806e+001	-8.548058e+000	2.545638e+000
2.466077999887162e-006	3.549929e-001	-3.825643e+000	2.856118e+000	2.053983e+001	-8.539825e+000	2.543880e+000
2.471077999887132e-006	5.249855e-001	-3.829512e+000	2.853503e+000	2.053156e+001	-8.531561e+000	2.542123e+000
2.476077999887102e-006	6.949753e-001	-3.833400e+000	2.850878e+000	2.052326e+001	-8.523262e+000	2.540368e+000
2.481077999887072e-006	8.649626e-001	-3.837304e+000	2.848242e+000	2.051494e+001	-8.514936e+000	2.538614e+000
2.483404345699674e-006	9.440516e-001	-3.839127e+000	2.847012e+000	2.051105e+001	-8.511051e+000	2.537799e+000
2.484752499363899e-006	9.898844e-001	-3.840186e+000	2.846298e+000	2.050880e+001	-8.508797e+000	2.537327e+000
2.486061549153255e-006	1.034388e+000	-3.841216e+000	2.845603e+000	2.050660e+001	-8.506601e+000	2.536868e+000
2.487151947743686e-006	1.071457e+000	-3.842076e+000	2.845023e+000	2.050477e+001	-8.504772e+000	2.536487e+000
2.488312247543503e-006	1.110903e+000	-3.842991e+000	2.844406e+000	2.050282e+001	-8.502823e+000	2.536080e+000
2.490632847142920e-006	1.189795e+000	-3.844827e+000	2.843168e+000	2.049892e+001	-8.498917e+000	2.535269e+000
2.495274046341971e-006	1.347575e+000	-3.848514e+000	2.840685e+000	2.049108e+001	-8.491079e+000	2.533646e+000
2.500274046341941e-006	1.517552e+000	-3.852502e+000	2.837998e+000	2.048260e+001	-8.482605e+000	2.531900e+000
2.503761422068896e-006	1.636104e+000	-3.855297e+000	2.836117e+000	2.047667e+001	-8.476673e+000	2.530683e+000
2.506191140838393e-006	1.718701e+000	-3.857251e+000	2.834802e+000	2.047253e+001	-8.472527e+000	2.529835e+000
2.511647705295394e-006	1.904191e+000	-3.861668e+000	2.831832e+000	2.046317e+001	-8.463165e+000	2.527934e+000
2.514748823979939e-006	2.009609e+000	-3.864194e+000	2.830135e+000	2.045782e+001	-8.457819e+000	2.526855e+000
