time	Isecundario	Iprimario
0.000000000000000e+000	2.127561e+000	-6.511115e-004
1.000000000341006e-010	2.127490e+000	-6.572140e-004
3.000000001023018e-010	2.127312e+000	-6.598749e-004
5.999999999877631e-010	2.127028e+000	-6.591089e-004
9.999999999073250e-010	2.126650e+000	-6.581133e-004
1.039999999964333e-009	2.126612e+000	-6.580086e-004
2.107999999881836e-008	2.107673e+000	-6.122242e-004
4.107999999869959e-008	2.088840e+000	-5.741619e-004
6.607999999855112e-008	2.065393e+000	-5.354942e-004
9.107999999840265e-008	2.042046e+000	-5.047786e-004
1.210799999982245e-007	2.014157e+000	-4.760901e-004
1.560799999980166e-007	1.981788e+000	-4.511269e-004
1.960799999977791e-007	1.945013e+000	-4.306803e-004
2.410799999975118e-007	1.903910e+000	-4.147640e-004
3.010799999971555e-007	1.849538e+000	-4.009923e-004
3.810799999966804e-007	1.777795e+000	-3.901556e-004
5.060799999959380e-007	1.667383e+000	-3.810484e-004
7.209999999999682e-007	1.482244e+000	-3.723301e-004
7.220000000000924e-007	1.481396e+000	-3.722924e-004
1.071077999895446e-006	1.193037e+000	-3.618223e-004
1.361077999893724e-006	9.646938e-001	-3.544274e-004
1.591077999892358e-006	7.906194e-001	-3.496347e-004
1.761077999891348e-006	6.658705e-001	-3.470402e-004
1.871077999890695e-006	5.869032e-001	-3.460101e-004
1.916077999890428e-006	5.549932e-001	-3.457883e-004
1.926077999890368e-006	5.479332e-001	-3.457577e-004
1.976077999890072e-006	5.128027e-001	-3.457200e-004
2.086077999889418e-006	4.365098e-001	-3.464771e-004
2.246077999888468e-006	3.279917e-001	-3.508891e-004
2.356077999887815e-006	2.551008e-001	-3.582976e-004
2.436077999887340e-006	2.029992e-001	-3.683025e-004
2.471077999887132e-006	1.804566e-001	-3.748364e-004
2.476077999887102e-006	1.772492e-001	-3.759213e-004
2.481077999887072e-006	1.740451e-001	-3.770501e-004
2.486077999887043e-006	1.708444e-001	-3.782251e-004
2.491077999887013e-006	1.676469e-001	-3.794488e-004
2.496077999886983e-006	1.644529e-001	-3.807239e-004
2.501077999886954e-006	1.612622e-001	-3.820533e-004
2.506077999886924e-006	1.580746e-001	-3.834326e-004
2.508404345699525e-006	1.565925e-001	-3.840941e-004
2.509752499363751e-006	1.557341e-001	-3.844862e-004
2.511061549153107e-006	1.549009e-001	-3.848717e-004
2.512151947743537e-006	1.542070e-001	-3.851960e-004
2.513312247543354e-006	1.534689e-001	-3.855453e-004
2.515632847142771e-006	1.519935e-001	-3.862573e-004
2.520274046341822e-006	1.490447e-001	-3.877222e-004
2.525274046341793e-006	1.458706e-001	-3.893576e-004
2.528761422068747e-006	1.436587e-001	-3.905392e-004
2.531191140838244e-006	1.421187e-001	-3.913880e-004
2.536647705295245e-006	1.386641e-001	-3.933778e-004
2.539748823979790e-006	1.367029e-001	-3.945588e-004
2.544748823979761e-006	1.335436e-001	-3.965325e-004
2.549748823979731e-006	1.303877e-001	-3.985974e-004
2.554748823979701e-006	1.272356e-001	-4.007691e-004
2.559748823979672e-006	1.240873e-001	-4.030538e-004
2.564748823979642e-006	1.209430e-001	-4.054594e-004
2.569748823979612e-006	1.178026e-001	-4.079952e-004
2.574748823979582e-006	1.146663e-001	-4.106713e-004
2.579748823979553e-006	1.115341e-001	-4.134988e-004
2.584748823979523e-006	1.084061e-001	-4.164901e-004
2.589748823979493e-006	1.052824e-001	-4.196587e-004
2.594748823979464e-006	1.021630e-001	-4.230200e-004
2.599748823979434e-006	9.904817e-002	-4.265910e-004
2.604748823979404e-006	9.593790e-002	-4.303907e-004
2.609748823979375e-006	9.283236e-002	-4.344406e-004
2.614748823979345e-006	8.973168e-002	-4.387647e-004
2.619748823979315e-006	8.663603e-002	-4.433903e-004
2.624748823979286e-006	8.354557e-002	-4.483486e-004
2.629748823979256e-006	8.046051e-002	-4.536748e-004
2.634748823979226e-006	7.738105e-002	-4.594094e-004
2.639748823979196e-006	7.430746e-002	-4.655989e-004
2.644748823979167e-006	7.123999e-002	-4.722970e-004
2.649748823979137e-006	6.817897e-002	-4.795661e-004
2.654748823979107e-006	6.512478e-002	-4.874790e-004
2.659748823979078e-006	6.207783e-002	-4.961213e-004
2.664748823979048e-006	5.903860e-002	-5.055938e-004
2.669748823979018e-006	5.600767e-002	-5.160166e-004
2.674748823978989e-006	5.298571e-002	-5.275334e-004
2.679748823978959e-006	4.997351e-002	-5.403173e-004
2.684748823978929e-006	4.697203e-002	-5.545794e-004
2.689748823978900e-006	4.398240e-002	-5.705779e-004
2.694748823978870e-006	4.100604e-002	-5.886329e-004
2.699748823978840e-006	3.804465e-002	-6.091449e-004
